Табельный номер,Фамилия И. О.,Пол,Год рождения,Начало работы (год),Подразделение,Должность,Оклад,Количество выполненных проектов
0,А. Д. Кокорхин,М,1985,2005,Отдел охраны труда,Инженер-исследователь,44985,20
1,П. П. Чепукалин,М,1972,1992,Аэрометрические системы воздушных сигналов,Бухгалтер,58916,19
2,Я. Г. Бугайцов,М,1970,1990,Отдел кадров,Техник,47665,2
3,И. Е. Путрин,М,1972,1992,Системы автоматизированного управления наземной техникой,Инженер-программист,52596,4
4,А. К. Евдокимцев,М,1966,1986,Аэрометрические системы воздушных сигналов,Инженер-исследователь,33215,18
5,Г. Ю. Кусакин,М,1998,2018,Информационно-управляющие системы для вертолетов,Техник,29582,19
6,Ф. Ю. Сейфудинов,М,1978,1998,Отдел охраны труда,Инженер,29629,4
7,Г. В. Коломацкий,М,1985,2005,Аэрометрические системы воздушных сигналов,Техник,35867,16
8,В. Г. Очкин,М,1978,1998,Проектирование и верификация программно-математического обеспечения,Техник,46960,19
9,Б. А. Толстоухов,М,1967,1987,Отдел охраны труда,Инженер,33675,20
10,Н. И. Чекулдаев,М,1967,1987,Аэрометрические системы воздушных сигналов,Инженер-программист,48392,20
11,В. Д. Курилев,М,1986,2006,Отдел охраны труда,Начальник ТКБ,22133,17
12,В. Е. Озерянский,М,1990,2010,Отдел кадров,Бухгалтер,57399,12
13,Э. Г. Боткин,М,1993,2013,Отдел кадров,Инженер-исследователь,38767,1
14,К. О. Пращикин,М,1998,2018,Системы автоматизированного управления наземной техникой,Начальник ТКБ,29674,3
15,В. Н. Берруких,М,1987,2007,Отдел кадров,Техник,53741,5
16,Б. В. Отморский,М,1976,1996,Проектирование и верификация программно-математического обеспечения,Инженер-исследователь,53908,2
17,Ю. Л. Цекин,М,1962,1982,Проектирование и верификация программно-математического обеспечения,Бухгалтер,43176,9
18,Р. Я. Школовский,М,1984,2004,Проектирование и верификация программно-математического обеспечения,Техник,33638,15
19,В. И. Трехлебов,М,1982,2002,Радиоэлектронная аппаратура,Инженер-программист,50482,20
20,А. П. Долбоносов,М,1988,2008,Отдел кадров,Инженер-исследователь,57265,9
21,В. А. Горбатов,М,1999,2019,Системы автоматизированного управления наземной техникой,Инженер,34343,4
22,И. Ф. Шарапенков,М,1989,2009,Информационно-управляющие системы для вертолетов,Начальник отдела,28980,11
23,В. А. Батушин,М,1985,2005,Отдел кадров,Начальник ТКБ,28031,9
24,Г. А. Бусуков,М,1968,1988,Информационно-управляющие системы для вертолетов,Начальник отдела,22485,20
25,А. О. Симоков,М,1975,1995,Отдел кадров,Экономист,28223,5
26,В. О. Енов,М,1969,1989,Информационно-управляющие системы для вертолетов,Начальник отдела,57278,9
27,В. Д. Хашимов,М,1994,2014,Радиоэлектронная аппаратура,Начальник отдела,29929,4
28,О. Т. Адиатулин,М,1990,2010,Радиоэлектронная аппаратура,Инженер,57618,20
29,М. Д. Семахин,М,1967,1987,Аэрометрические системы воздушных сигналов,Инженер-программист,41042,2
